date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:10:14	56298/56298	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20May%202024%2003:10:15%20GMT	https://pts.com.my/penulis/ustaz-abdullah-khairi	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/pts%20book/pts.com.my/penulis/ustaz-abdullah-khairi.html	(from )
11:10:14	82/82	---MCZ	200	added ('OK')	text/plain	etag:W/%2291-5ffb5bd638175%22	https://pts.com.my/robots.txt		(from )
11:10:19	2611/2611	---MCZ	200	added ('OK')	text/css	etag:W/%22e2e-6037ed1eaeaf6%22	https://pts.com.my/assets/pts2019/css/default.css	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/pts%20book/pts.com.my/assets/pts2019/css/default.css	(from https://pts.com.my/penulis/ustaz-abdullah-khairi)
11:10:22	2970/2970	---MCZ	200	added ('OK')	text/css	etag:W/%22f3f-6161d71b063bb%22	https://pts.com.my/assets/pts2019/css/pts.nav3.css	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/pts%20book/pts.com.my/assets/pts2019/css/pts.nav3.css	(from https://pts.com.my/penulis/ustaz-abdullah-khairi)
11:10:23	22602/22602	---MCZ	200	added ('OK')	text/css	etag:W/%22727c-607f79c671781%22	https://pts.com.my/assets/pts2019/css/pts.2019.css	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/pts%20book/pts.com.my/assets/pts2019/css/pts.2019.css	(from https://pts.com.my/penulis/ustaz-abdullah-khairi)
11:10:23	2096/2096	---MCZ	200	added ('OK')	text/css	etag:W/%22885-5c4762797d440%22	https://pts.com.my/assets/pts2019/scripts/tinyslider/tinyslider.css	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/pts%20book/pts.com.my/assets/pts2019/scripts/tinyslider/tinyslider.css	(from https://pts.com.my/penulis/ustaz-abdullah-khairi)
11:10:23	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%22d17-58ba8da501040%22	https://pts.com.my/assets/pts2019/scripts/owl/owl.carousel.min.css	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/pts%20book/pts.com.my/assets/pts2019/scripts/owl/owl.carousel.min.css	(from https://pts.com.my/penulis/ustaz-abdullah-khairi)
11:10:23	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/pts%20book/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://pts.com.my/penulis/ustaz-abdullah-khairi)
11:10:24	4319/4319	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20May%202024%2003:10:25%20GMT	https://analytics.tiktok.com/i18n/pixel/events.js	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/pts%20book/analytics.tiktok.com/i18n/pixel/events.js	(from https://pts.com.my/penulis/ustaz-abdullah-khairi)
11:10:24	46149/46149	---M--	200	added ('OK')	image/png	etag:%22b445-5c08a948f6a80%22	https://pts.com.my/assets/global/pts_logo2021.png	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/pts%20book/pts.com.my/assets/global/pts_logo2021.png	(from https://pts.com.my/penulis/ustaz-abdullah-khairi)
